Year,Real per Capita GDP Growth Rate (annual %),Real GDP growth (annual %),"Gross domestic product, (constant prices US$)","Gross domestic product, current prices (current US$)",Final consumption expenditure  (current US$),General government final consumption expenditure (current US$),Household final consumption expenditure (current US$),Gross capital formation (current US$),"Gross capital formation, Private sector  (current US$)","Gross capital formation, Public sector  (current US$)",Exports of goods and services (current US$),Imports of goods and services (current US$),Final consumption expenditure  (% of GDP),General government final consumption expenditure (% of GDP),Household final consumption expenditure  (% of GDP),Gross capital formation (% of GDP),"Gross capital formation, Private sector (% GDP)","Gross capital formation, Public sector (% GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Central government, Fiscal Balance (Current US $)","Central government, total revenue and grants  (Current US $)","Central government, total expenditure and net lending  (Current US $)","Central government, Fiscal Balance (% of GDP)","Central government, total revenue and grants  (% of GDP)","Central government, total expenditure and net lending  (% of GDP)","Current account balance (Net, BoP, cur. US$)",Current account balance (As % of GDP),"Inflation, consumer prices (annual %)"
1990,0.7196419417067899,3.3739515834367286,17292.779176532764,10537.825185185186,7137.649515193553,1507.8820709507509,5629.767808643661,1855.9100181451167,1264.2627632831368,731.3365479662634,2493.138358053918,2451.5782372817084,74.44351870659501,14.186507100794646,60.25661500305702,17.291489019767003,10.461295968174584,7.2129662964115004,22.996286044879373,32.35724335985216,-416.68890300690504,2309.7901526679584,2724.997774793894,-4.22609633075618,20.766573577711277,24.891683817741505,-114.1042008910398,-4.565938060805608,16.76598206797178
1991,-0.2818395397746914,2.152655287140432,17535.416398754987,10560.940555555557,7124.194144823182,1506.2378116914915,5617.956697532551,1748.811314441413,1292.948133653507,593.377103521819,2426.124098794659,2404.55934839282,76.02314833622465,14.568173767461314,61.45494833639036,16.71852605680404,10.155740412619028,6.871114444559648,22.554434193027518,32.69372484133365,-406.74390300690504,2128.70163414944,2533.962219238339,-4.1998000344598845,19.796203207340906,23.895202336260027,-89.14586755770648,-4.4327899126574595,18.673759845749558
1992,-2.032580280515432,0.2354330649182098,17548.223065421655,10870.100925925924,7438.540930913982,1582.4324183340243,5856.107401471619,1744.7446765896807,1336.6573992908684,549.5908997949263,2545.058980350215,2576.3328367896543,77.71632847728797,14.876682151457729,62.83961411973564,16.50705407113379,10.471136686304213,6.4040251893852655,22.513927707960615,33.56691575898,-457.72625386114635,2086.9434526204836,2544.2920050277917,-4.429682152912094,19.80678138276178,24.237826928039414,-65.4579045947435,-4.58890102376857,20.02783391982363
1993,-1.4418395397746915,0.767655287140432,17542.98732468091,10576.565925925926,7471.823523506575,1546.5953812969874,5925.227031101247,1670.35393584894,1218.4398066982756,585.4342331282596,2315.894350720585,2543.5895034563205,75.39503218099168,14.803534003309581,60.59091041603194,15.965942960022678,9.516877427044953,6.828654819014895,22.3541128931458,32.94154538860963,-527.5131057129983,2011.871045213076,2539.0060791018655,-4.456719189949132,19.603077679058078,24.06227137248386,-137.65186742807686,-4.488814761129064,18.24746354945326
1994,-2.4959136138487654,-0.24919656471141963,17763.511028384615,9943.207037037038,7176.450004988057,1451.6396405562466,5724.809438508655,1753.9856025156066,1307.162214105683,574.9108997949262,2428.2441655354,2644.760799752617,73.78114329210278,14.239459929235508,59.54165115677268,18.578350367430087,11.74391446408199,7.1593955597556365,25.278927707960612,35.50376761083186,-381.99773534262783,2003.2912303982612,2384.9114494722357,-4.388941412171354,18.88678138276178,23.277826928039413,-201.92112668733608,-4.4280740203883235,25.539069552007536
1995,2.4279752750401236,4.78580343528858,18319.384917273506,10782.476666666667,7883.833523506576,1475.1270479636541,6408.705549619766,1837.182083997088,1422.78925114272,542.6481220171485,2691.6276840539185,2956.770429382246,75.26095810691761,13.722052521828099,61.53998449010601,17.903350367430086,11.406692241859771,6.778840004200081,25.914112893145802,36.88691575898,-281.3921797870723,2314.9956748427057,2596.008671694458,-3.836719189949132,20.03104064202104,23.86875285396534,-200.54520076141017,-5.95548142779573,21.415180663118647
1996,3.0383456454104936,5.5746923241774695,19267.282880236467,11312.521111111111,8377.740004988056,1583.0727887043947,6794.667401471618,1876.0822691822732,1438.975177068646,572.302566461593,2964.3780544242886,3019.8328367896534,76.84984699580649,13.573719188494765,63.27591041603194,18.249091108170827,11.609840390007916,6.966988152348229,26.430409189442095,36.81173057379482,-145.41903163892417,2524.526971139002,2669.5653383611243,-3.1276451158750573,20.094929530909926,23.224123224335713,-29.601867428076826,-6.135666612980916,16.601106589044576
1997,4.595938238003087,7.345247879733025,19893.72584319943,11699.883148148147,8732.655745728798,1629.434085000691,7103.221105175322,1967.038195108199,1456.1409178093866,632.191640535667,3009.0773136835483,3128.7713553081726,77.21892106988058,13.582608077383655,63.63591041603194,17.85520221928194,11.372247797415325,6.624210374570451,27.036335115368022,36.24136020342445,-286.6190316389241,2525.603267435298,2811.842745768532,-3.262274745504687,20.107707308687708,23.37190100211349,-36.42705261326202,-4.1252962426105455,11.920736218674207
1998,1.5026049046697532,4.1143219538070985,20492.163435792023,11563.52351851852,8716.235560543611,1687.484085000691,7028.749808879026,2172.1826395526436,1592.483140031609,697.4546034986299,2659.1306470168815,3125.076170122987,77.46706921802871,14.594274744050322,62.872947453068974,19.102609626689347,12.309655204822732,6.837914078274155,25.716890670923576,37.22747131453556,-376.5031057129982,2392.664193361224,2768.7894124351988,-4.785793264023205,19.296225827206225,24.083382483594967,-367.88020076141015,-7.553999946314248,10.31592140385939
1999,1.4259382380030863,4.004136768621914,21037.234732088316,11726.82037037037,8768.829819802871,1668.42797388958,7100.400919990137,2188.937269182273,1604.0386955871645,706.833677572704,2874.738609979844,3156.925059011876,77.3035506995102,14.324089558865136,62.97961411973564,18.27094296002268,11.310025575193103,6.949765930126006,26.671520300553205,36.81802687009112,-300.24421682410934,2574.4727118797427,2874.3384865092726,-4.637645115875058,20.673633234613632,25.31412322433571,-174.4468674280768,-5.259185131499435,9.011291774229761
